LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-12-21 07:41:01,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:01,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-39,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:41:01,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-39,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:41:02,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-36,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:41:03,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:03,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:03,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:03,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:03,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:04,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:05,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:05,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:05,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:05,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:05,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:06,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:06,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:06,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:06,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:07,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:07,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:07,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:08,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:08,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:08,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:08,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:09,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:09,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:10,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:11,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:11,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:12,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:13,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:13,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:14,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:14,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:15,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:15,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:15,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:15,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:16,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:16,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:17,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:17,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:17,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:17,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:17,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:19,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:20,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:20,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:21,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:21,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:21,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:22,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:22,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:22,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:22,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:23,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:23,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:23,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:25,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:25,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:25,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:26,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
